seed,round,station,method,episode,epsilon,reward
11,3,commuter,local_q,9,0.6480000000000001,-106.87037819796271
11,3,commuter,pooled_q,9,0.6480000000000001,-108.38486558597916
11,3,commuter,federated_q,10,0.6480000000000001,-95.52824165480435
11,3,commuter,local_q,10,0.6480000000000001,-97.36574165480435
11,3,commuter,pooled_q,10,0.6480000000000001,-95.52824165480433
11,3,commuter,federated_q,11,0.6480000000000001,-77.84595267601345
11,3,commuter,local_q,11,0.6480000000000001,-83.14845267601346
11,3,commuter,pooled_q,11,0.6480000000000001,-76.11345267601345
11,3,mixed_use,federated_q,8,0.6480000000000001,-97.50575975215834
11,3,mixed_use,local_q,8,0.6480000000000001,-106.13155720975459
11,3,mixed_use,pooled_q,8,0.6480000000000001,-105.61471718296288
11,3,mixed_use,federated_q,9,0.6480000000000001,-112.41941167706912
11,3,mixed_use,local_q,9,0.6480000000000001,-110.83402202300108
11,3,mixed_use,pooled_q,9,0.6480000000000001,-113.994144618309
11,3,mixed_use,federated_q,10,0.6480000000000001,-99.79965657371437
11,3,mixed_use,local_q,10,0.6480000000000001,-99.4116217279867
11,3,mixed_use,pooled_q,10,0.6480000000000001,-93.80509702247939
11,3,mixed_use,federated_q,11,0.6480000000000001,-98.33297908540274
11,3,mixed_use,local_q,11,0.6480000000000001,-92.92418081193249
11,3,mixed_use,pooled_q,11,0.6480000000000001,-96.15270825749393
11,4,campus,federated_q,12,0.5832,-33.3936271972402
11,4,campus,local_q,12,0.5832,-29.47253266452619
11,4,campus,pooled_q,12,0.5832,-25.920744211870765
11,4,campus,federated_q,13,0.5832,-29.224875778816088
11,4,campus,local_q,13,0.5832,-28.46330477867077
11,4,campus,pooled_q,13,0.5832,-35.636717997730294
11,4,campus,federated_q,14,0.5832,-33.336271401659374
11,4,campus,local_q,14,0.5832,-25.38149954253274
11,4,campus,pooled_q,14,0.5832,-33.94822049207861
11,4,campus,federated_q,15,0.5832,-23.591830996388403
11,4,campus,local_q,15,0.5832,-26.53084156303292
11,4,campus,pooled_q,15,0.5832,-28.84574880719075
11,4,commuter,federated_q,12,0.5832,-92.90627984205457
11,4,commuter,local_q,12,0.5832,-91.17581337967826
11,4,commuter,pooled_q,12,0.5832,-94.69877984205456
11,4,commuter,federated_q,13,0.5832,-104.40388523825133
11,4,commuter,local_q,13,0.5832,-102.55497301511684
11,4,commuter,pooled_q,13,0.5832,-102.16089393932086
11,4,commuter,federated_q,14,0.5832,-100.26672450248857
11,4,commuter,local_q,14,0.5832,-105.62685329736854
11,4,commuter,pooled_q,14,0.5832,-92.91672450248858
11,4,commuter,federated_q,15,0.5832,-79.61525654254613
11,4,commuter,local_q,15,0.5832,-95.62775654254614
11,4,commuter,pooled_q,15,0.5832,-81.89025654254611
11,4,mixed_use,federated_q,12,0.5832,-82.04686337731013
11,4,mixed_use,local_q,12,0.5832,-80.0299276372055
11,4,mixed_use,pooled_q,12,0.5832,-76.24083916399071
11,4,mixed_use,federated_q,13,0.5832,-107.78880235784781
11,4,mixed_use,local_q,13,0.5832,-113.96437277141177
11,4,mixed_use,pooled_q,13,0.5832,-105.3578103461688
11,4,mixed_use,federated_q,14,0.5832,-97.58575393691743
11,4,mixed_use,local_q,14,0.5832,-104.16457756447697
11,4,mixed_use,pooled_q,14,0.5832,-96.01487970692712
11,4,mixed_use,federated_q,15,0.5832,-116.74312763506586
11,4,mixed_use,local_q,15,0.5832,-105.84211742254206
11,4,mixed_use,pooled_q,15,0.5832,-114.45559392761233
11,5,campus,federated_q,16,0.52488,-33.81452626327679
11,5,campus,local_q,16,0.52488,-32.45951082565834
11,5,campus,pooled_q,16,0.52488,-35.40189990470054
11,5,campus,federated_q,17,0.52488,-18.231844650130167
11,5,campus,local_q,17,0.52488,-13.471936947598001
11,5,campus,pooled_q,17,0.52488,-17.7453893538908
11,5,campus,federated_q,18,0.52488,-29.82210710788952
11,5,campus,local_q,18,0.52488,-31.219777111606916
11,5,campus,pooled_q,18,0.52488,-31.314395085197617
11,5,campus,federated_q,19,0.52488,-15.224495662983625
11,5,campus,local_q,19,0.52488,-13.966802722845038
11,5,campus,pooled_q,19,0.52488,-14.277195271531136
11,5,commuter,federated_q,16,0.52488,-90.5818391697799
11,5,commuter,local_q,16,0.52488,-94.08550731386904
11,5,commuter,pooled_q,16,0.52488,-90.68683916977989
11,5,commuter,federated_q,17,0.52488,-82.50267871580206
11,5,commuter,local_q,17,0.52488,-74.74735296466464
11,5,commuter,pooled_q,17,0.52488,-74.94267871580206
11,5,commuter,federated_q,18,0.52488,-81.73460362045674
11,5,commuter,local_q,18,0.52488,-81.55060050618621
11,5,commuter,pooled_q,18,0.52488,-85.59735406321165
11,5,commuter,federated_q,19,0.52488,-101.38746858230006
